Block SCALES
1 10000	# UV scale [GeV]
2 2 0.000000	# phiud(2,2)
2 3 0.000000	# phiud(2,3)
3 1 0.000000	# phiud(3,1)
3 2 0.000000	# phiud(3,2)
3 3 0.000000	# phiud(3,3)
Block IMWCPHIUD
1 1 0.000000	# phiud(1,1)
1 2 0.000000	# phiud(1,2)
1 3 0.000000	# phiud(1,3)
2 1 0.000000	# phiud(2,1)
2 2 0.000000	# phiud(2,2)
2 3 0.000000	# phiud(2,3)
3 1 0.000000	# phiud(3,1)
3 2 0.000000	# phiud(3,2)
3 3 0.000000	# phiud(3,3)
Block WCLL
1 1 1 1 0.000000	# ll(1,1,1,1)
1 1 1 2 0.000000	# ll(1,1,1,2)
1 1 1 3 0.000000	# ll(1,1,1,3)
1 1 2 2 0.000000	# ll(1,1,2,2)
1 1 2 3 0.000000	# ll(1,1,2,3)
1 1 3 3 0.000000	# ll(1,1,3,3)
1 2 1 2 0.000000	# ll(1,2,1,2)
1 2 1 3 0.000000	# ll(1,2,1,3)
1 2 2 1 0.000000	# ll(1,2,2,1)
1 2 2 2 0.000000	# ll(1,2,2,2)
1 2 2 3 0.000000	# ll(1,2,2,3)
1 2 3 1 0.000000	# ll(1,2,3,1)
1 2 3 2 0.000000	# ll(1,2,3,2)
1 2 3 3 0.000000	# ll(1,2,3,3)
1 3 1 3 0.000000	# ll(1,3,1,3)
1 3 2 2 0.000000	# ll(1,3,2,2)
1 3 2 3 0.000000	# ll(1,3,2,3)
1 3 3 1 0.000000	# ll(1,3,3,1)
1 3 3 2 0.000000	# ll(1,3,3,2)
1 3 3 3 0.000000	# ll(1,3,3,3)
2 2 2 2 0.000000	# ll(2,2,2,2)
2 2 2 3 0.000000	# ll(2,2,2,3)
2 2 3 3 0.000000	# ll(2,2,3,3)
2 3 2 3 0.000000	# ll(2,3,2,3)
2 3 3 2 0.000000	# ll(2,3,3,2)
2 3 3 3 0.000000	# ll(2,3,3,3)
3 3 3 3 0.000000	# ll(3,3,3,3)
Block IMWCLL
1 1 1 2 0.000000	# ll(1,1,1,2)
