Block SCALES
1 10000	# UV scale [GeV]
1 2 3 1 0.000000	# qd1(1,2,3,1)
1 2 3 2 0.000000	# qd1(1,2,3,2)
1 2 3 3 1.371095E-14	# qd1(1,2,3,3)
1 3 1 1 0.000000	# qd1(1,3,1,1)
1 3 1 2 -1.121428E-10	# qd1(1,3,1,2)
1 3 1 3 0.000000	# qd1(1,3,1,3)
1 3 2 1 0.000000	# qd1(1,3,2,1)
1 3 2 2 0.000000	# qd1(1,3,2,2)
1 3 2 3 0.000000	# qd1(1,3,2,3)
1 3 3 1 0.000000	# qd1(1,3,3,1)
1 3 3 2 0.000000	# qd1(1,3,3,2)
1 3 3 3 4.556319E-12	# qd1(1,3,3,3)
2 2 1 2 0.000000	# qd1(2,2,1,2)
2 2 1 3 -2.887961E-13	# qd1(2,2,1,3)
2 2 2 3 0.000000	# qd1(2,2,2,3)
2 3 1 1 0.000000	# qd1(2,3,1,1)
2 3 1 2 0.000000	# qd1(2,3,1,2)
2 3 1 3 0.000000	# qd1(2,3,1,3)
2 3 2 1 0.000000	# qd1(2,3,2,1)
2 3 2 2 2.589250E-11	# qd1(2,3,2,2)
2 3 2 3 0.000000	# qd1(2,3,2,3)
2 3 3 1 0.000000	# qd1(2,3,3,1)
2 3 3 2 0.000000	# qd1(2,3,3,2)
2 3 3 3 0.000000	# qd1(2,3,3,3)
3 3 1 2 0.000000	# qd1(3,3,1,2)
3 3 1 3 0.000000	# qd1(3,3,1,3)
3 3 2 3 0.000000	# qd1(3,3,2,3)
Block WCQD8
1 1 1 1 0.000000	# qd8(1,1,1,1)
1 1 1 2 0.000000	# qd8(1,1,1,2)
1 1 1 3 0.000000	# qd8(1,1,1,3)
1 1 2 2 0.000000	# qd8(1,1,2,2)
1 1 2 3 -1.079774E-14	# qd8(1,1,2,3)
1 1 3 3 0.000000	# qd8(1,1,3,3)
1 2 1 1 0.000000	# qd8(1,2,1,1)
1 2 1 2 0.000000	# qd8(1,2,1,2)
1 2 1 3 0.000000	# qd8(1,2,1,3)
1 2 2 1 0.000000	# qd8(1,2,2,1)
1 2 2 2 0.000000	# qd8(1,2,2,2)
1 2 2 3 4.735672E-14	# qd8(1,2,2,3)
1 2 3 1 0.000000	# qd8(1,2,3,1)
1 2 3 2 -4.141142E-10	# qd8(1,2,3,2)
1 2 3 3 0.000000	# qd8(1,2,3,3)
1 3 1 1 0.000000	# qd8(1,3,1,1)
1 3 1 2 0.000000	# qd8(1,3,1,2)
1 3 1 3 0.000000	# qd8(1,3,1,3)
1 3 2 1 0.000000	# qd8(1,3,2,1)
1 3 2 2 0.000000	# qd8(1,3,2,2)
1 3 2 3 1.655427E-11	# qd8(1,3,2,3)
1 3 3 1 0.000000	# qd8(1,3,3,1)
1 3 3 2 -1.124645E-12	# qd8(1,3,3,2)
1 3 3 3 0.000000	# qd8(1,3,3,3)
2 2 1 1 0.000000	# qd8(2,2,1,1)
2 2 1 2 0.000000	# qd8(2,2,1,2)
2 2 1 3 0.000000	# qd8(2,2,1,3)
2 2 2 2 0.000000	# qd8(2,2,2,2)
2 2 2 3 2.136840E-9	# qd8(2,2,2,3)
2 2 3 3 0.000000	# qd8(2,2,3,3)
2 3 1 1 0.000000	# qd8(2,3,1,1)
2 3 1 2 0.000000	# qd8(2,3,1,2)
2 3 1 3 0.000000	# qd8(2,3,1,3)
2 3 2 1 0.000000	# qd8(2,3,2,1)
2 3 2 2 0.000000	# qd8(2,3,2,2)
2 3 2 3 7.413603E-7	# qd8(2,3,2,3)
2 3 3 1 0.000000	# qd8(2,3,3,1)
2 3 3 2 5.758765E-12	# qd8(2,3,3,2)
2 3 3 3 0.000000	# qd8(2,3,3,3)
3 3 1 1 0.000000	# qd8(3,3,1,1)
3 3 1 2 0.000000	# qd8(3,3,1,2)
3 3 1 3 0.000000	# qd8(3,3,1,3)
3 3 2 2 0.000000	# qd8(3,3,2,2)
3 3 2 3 1.998620E-9	# qd8(3,3,2,3)
3 3 3 3 0.000000	# qd8(3,3,3,3)
Block IMWCQD8
1 1 1 2 0.000000	# qd8(1,1,1,2)
1 1 1 3 0.000000	# qd8(1,1,1,3)
1 1 2 3 0.000000	# qd8(1,1,2,3)
1 2 1 1 0.000000	# qd8(1,2,1,1)
1 2 1 2 0.000000	# qd8(1,2,1,2)
1 2 1 3 0.000000	# qd8(1,2,1,3)
1 2 2 1 0.000000	# qd8(1,2,2,1)
1 2 2 2 0.000000	# qd8(1,2,2,2)
1 2 2 3 0.000000	# qd8(1,2,2,3)
1 2 3 1 0.000000	# qd8(1,2,3,1)
1 2 3 2 0.000000	# qd8(1,2,3,2)
1 2 3 3 2.056643E-14	# qd8(1,2,3,3)
1 3 1 1 0.000000	# qd8(1,3,1,1)
1 3 1 2 -1.682142E-10	# qd8(1,3,1,2)
1 3 1 3 0.000000	# qd8(1,3,1,3)
1 3 2 1 0.000000	# qd8(1,3,2,1)
1 3 2 2 0.000000	# qd8(1,3,2,2)
1 3 2 3 0.000000	# qd8(1,3,2,3)
1 3 3 1 0.000000	# qd8(1,3,3,1)
1 3 3 2 0.000000	# qd8(1,3,3,2)
1 3 3 3 6.834479E-12	# qd8(1,3,3,3)
2 2 1 2 0.000000	# qd8(2,2,1,2)
2 2 1 3 -4.331942E-13	# qd8(2,2,1,3)
2 2 2 3 0.000000	# qd8(2,2,2,3)
2 3 1 1 0.000000	# qd8(2,3,1,1)
2 3 1 2 0.000000	# qd8(2,3,1,2)
2 3 1 3 0.000000	# qd8(2,3,1,3)
2 3 2 1 0.000000	# qd8(2,3,2,1)
2 3 2 2 3.883875E-11	# qd8(2,3,2,2)
2 3 2 3 0.000000	# qd8(2,3,2,3)
2 3 3 1 0.000000	# qd8(2,3,3,1)
2 3 3 2 0.000000	# qd8(2,3,3,2)
2 3 3 3 0.000000	# qd8(2,3,3,3)
3 3 1 2 0.000000	# qd8(3,3,1,2)
3 3 1 3 0.000000	# qd8(3,3,1,3)
3 3 2 3 0.000000	# qd8(3,3,2,3)
Block WCLEDQ
1 1 1 1 0.000000	# ledq(1,1,1,1)
1 1 1 2 0.000000	# ledq(1,1,1,2)
1 1 1 3 0.000000	# ledq(1,1,1,3)
1 1 2 1 0.000000	# ledq(1,1,2,1)
1 1 2 2 0.000000	# ledq(1,1,2,2)
1 1 2 3 0.000000	# ledq(1,1,2,3)
1 1 3 1 0.000000	# ledq(1,1,3,1)
1 1 3 2 0.000000	# ledq(1,1,3,2)
1 1 3 3 0.000000	# ledq(1,1,3,3)
1 2 1 1 0.000000	# ledq(1,2,1,1)
1 2 1 2 0.000000	# ledq(1,2,1,2)
1 2 1 3 0.000000	# ledq(1,2,1,3)
1 2 2 1 0.000000	# ledq(1,2,2,1)
1 2 2 2 0.000000	# ledq(1,2,2,2)
1 2 2 3 0.000000	# ledq(1,2,2,3)
1 2 3 1 0.000000	# ledq(1,2,3,1)
1 2 3 2 0.000000	# ledq(1,2,3,2)
1 2 3 3 0.000000	# ledq(1,2,3,3)
1 3 1 1 0.000000	# ledq(1,3,1,1)
1 3 1 2 0.000000	# ledq(1,3,1,2)
1 3 1 3 0.000000	# ledq(1,3,1,3)
1 3 2 1 0.000000	# ledq(1,3,2,1)
1 3 2 2 0.000000	# ledq(1,3,2,2)
1 3 2 3 0.000000	# ledq(1,3,2,3)
1 3 3 1 0.000000	# ledq(1,3,3,1)
1 3 3 2 0.000000	# ledq(1,3,3,2)
1 3 3 3 0.000000	# ledq(1,3,3,3)
2 1 1 1 0.000000	# ledq(2,1,1,1)
2 1 1 2 0.000000	# ledq(2,1,1,2)
2 1 1 3 0.000000	# ledq(2,1,1,3)
2 1 2 1 0.000000	# ledq(2,1,2,1)
2 1 2 2 0.000000	# ledq(2,1,2,2)
2 1 2 3 0.000000	# ledq(2,1,2,3)
2 1 3 1 0.000000	# ledq(2,1,3,1)
2 1 3 2 0.000000	# ledq(2,1,3,2)
2 1 3 3 0.000000	# ledq(2,1,3,3)
2 2 1 1 0.000000	# ledq(2,2,1,1)
2 2 1 2 0.000000	# ledq(2,2,1,2)
2 2 1 3 0.000000	# ledq(2,2,1,3)
2 2 2 1 0.000000	# ledq(2,2,2,1)
2 2 2 2 0.000000	# ledq(2,2,2,2)
2 2 2 3 0.000000	# ledq(2,2,2,3)
2 2 3 1 0.000000	# ledq(2,2,3,1)
2 2 3 2 0.000000	# ledq(2,2,3,2)
2 2 3 3 0.000000	# ledq(2,2,3,3)
2 3 1 1 0.000000	# ledq(2,3,1,1)
2 3 1 2 0.000000	# ledq(2,3,1,2)
2 3 1 3 0.000000	# ledq(2,3,1,3)
2 3 2 1 0.000000	# ledq(2,3,2,1)
2 3 2 2 0.000000	# ledq(2,3,2,2)
2 3 2 3 0.000000	# ledq(2,3,2,3)
2 3 3 1 0.000000	# ledq(2,3,3,1)
2 3 3 2 0.000000	# ledq(2,3,3,2)
2 3 3 3 0.000000	# ledq(2,3,3,3)
3 1 1 1 0.000000	# ledq(3,1,1,1)
3 1 1 2 0.000000	# ledq(3,1,1,2)
3 1 1 3 0.000000	# ledq(3,1,1,3)
3 1 2 1 0.000000	# ledq(3,1,2,1)
3 1 2 2 0.000000	# ledq(3,1,2,2)
3 1 2 3 0.000000	# ledq(3,1,2,3)
3 1 3 1 0.000000	# ledq(3,1,3,1)
3 1 3 2 0.000000	# ledq(3,1,3,2)
3 1 3 3 0.000000	# ledq(3,1,3,3)
3 2 1 1 0.000000	# ledq(3,2,1,1)
3 2 1 2 0.000000	# ledq(3,2,1,2)
3 2 1 3 0.000000	# ledq(3,2,1,3)
3 2 2 1 0.000000	# ledq(3,2,2,1)
3 2 2 2 0.000000	# ledq(3,2,2,2)
3 2 2 3 0.000000	# ledq(3,2,2,3)
3 2 3 1 0.000000	# ledq(3,2,3,1)
3 2 3 2 0.000000	# ledq(3,2,3,2)
3 2 3 3 0.000000	# ledq(3,2,3,3)
3 3 1 1 0.000000	# ledq(3,3,1,1)
3 3 1 2 0.000000	# ledq(3,3,1,2)
3 3 1 3 0.000000	# ledq(3,3,1,3)
3 3 2 1 0.000000	# ledq(3,3,2,1)
3 3 2 2 0.000000	# ledq(3,3,2,2)
3 3 2 3 0.000000	# ledq(3,3,2,3)
3 3 3 1 0.000000	# ledq(3,3,3,1)
3 3 3 2 0.000000	# ledq(3,3,3,2)
3 3 3 3 0.000000	# ledq(3,3,3,3)
Block IMWCLEDQ
1 1 1 1 0.000000	# ledq(1,1,1,1)
1 1 1 2 0.000000	# ledq(1,1,1,2)
1 1 1 3 0.000000	# ledq(1,1,1,3)
1 1 2 1 0.000000	# ledq(1,1,2,1)
1 1 2 2 0.000000	# ledq(1,1,2,2)
1 1 2 3 0.000000	# ledq(1,1,2,3)
1 1 3 1 0.000000	# ledq(1,1,3,1)
1 1 3 2 0.000000	# ledq(1,1,3,2)
1 1 3 3 0.000000	# ledq(1,1,3,3)
1 2 1 1 0.000000	# ledq(1,2,1,1)
1 2 1 2 0.000000	# ledq(1,2,1,2)
1 2 1 3 0.000000	# ledq(1,2,1,3)
1 2 2 1 0.000000	# ledq(1,2,2,1)
1 2 2 2 0.000000	# ledq(1,2,2,2)
1 2 2 3 0.000000	# ledq(1,2,2,3)
1 2 3 1 0.000000	# ledq(1,2,3,1)
1 2 3 2 0.000000	# ledq(1,2,3,2)
1 2 3 3 0.000000	# ledq(1,2,3,3)
1 3 1 1 0.000000	# ledq(1,3,1,1)
1 3 1 2 0.000000	# ledq(1,3,1,2)
1 3 1 3 0.000000	# ledq(1,3,1,3)
1 3 2 1 0.000000	# ledq(1,3,2,1)
1 3 2 2 0.000000	# ledq(1,3,2,2)
1 3 2 3 0.000000	# ledq(1,3,2,3)
1 3 3 1 0.000000	# ledq(1,3,3,1)
1 3 3 2 0.000000	# ledq(1,3,3,2)
1 3 3 3 0.000000	# ledq(1,3,3,3)
2 1 1 1 0.000000	# ledq(2,1,1,1)
2 1 1 2 0.000000	# ledq(2,1,1,2)
2 1 1 3 0.000000	# ledq(2,1,1,3)
2 1 2 1 0.000000	# ledq(2,1,2,1)
2 1 2 2 0.000000	# ledq(2,1,2,2)
2 1 2 3 0.000000	# ledq(2,1,2,3)
2 1 3 1 0.000000	# ledq(2,1,3,1)
2 1 3 2 0.000000	# ledq(2,1,3,2)
2 1 3 3 0.000000	# ledq(2,1,3,3)
2 2 1 1 0.000000	# ledq(2,2,1,1)
2 2 1 2 0.000000	# ledq(2,2,1,2)
2 2 1 3 0.000000	# ledq(2,2,1,3)
2 2 2 1 0.000000	# ledq(2,2,2,1)
2 2 2 2 0.000000	# ledq(2,2,2,2)
2 2 2 3 0.000000	# ledq(2,2,2,3)
2 2 3 1 0.000000	# ledq(2,2,3,1)
2 2 3 2 0.000000	# ledq(2,2,3,2)
2 2 3 3 0.000000	# ledq(2,2,3,3)
2 3 1 1 0.000000	# ledq(2,3,1,1)
2 3 1 2 0.000000	# ledq(2,3,1,2)
2 3 1 3 0.000000	# ledq(2,3,1,3)
2 3 2 1 0.000000	# ledq(2,3,2,1)
2 3 2 2 0.000000	# ledq(2,3,2,2)
2 3 2 3 0.000000	# ledq(2,3,2,3)
2 3 3 1 0.000000	# ledq(2,3,3,1)
2 3 3 2 0.000000	# ledq(2,3,3,2)
2 3 3 3 0.000000	# ledq(2,3,3,3)
3 1 1 1 0.000000	# ledq(3,1,1,1)
3 1 1 2 0.000000	# ledq(3,1,1,2)
3 1 1 3 0.000000	# ledq(3,1,1,3)
3 1 2 1 0.000000	# ledq(3,1,2,1)
3 1 2 2 0.000000	# ledq(3,1,2,2)
3 1 2 3 0.000000	# ledq(3,1,2,3)
3 1 3 1 0.000000	# ledq(3,1,3,1)
3 1 3 2 0.000000	# ledq(3,1,3,2)
3 1 3 3 0.000000	# ledq(3,1,3,3)
3 2 1 1 0.000000	# ledq(3,2,1,1)
3 2 1 2 0.000000	# ledq(3,2,1,2)
3 2 1 3 0.000000	# ledq(3,2,1,3)
3 2 2 1 0.000000	# ledq(3,2,2,1)
3 2 2 2 0.000000	# ledq(3,2,2,2)
3 2 2 3 0.000000	# ledq(3,2,2,3)
3 2 3 1 0.000000	# ledq(3,2,3,1)
3 2 3 2 0.000000	# ledq(3,2,3,2)
3 2 3 3 0.000000	# ledq(3,2,3,3)
3 3 1 1 0.000000	# ledq(3,3,1,1)
3 3 1 2 0.000000	# ledq(3,3,1,2)
3 3 1 3 0.000000	# ledq(3,3,1,3)
3 3 2 1 0.000000	# ledq(3,3,2,1)
3 3 2 2 0.000000	# ledq(3,3,2,2)
3 3 2 3 0.000000	# ledq(3,3,2,3)
3 3 3 1 0.000000	# ledq(3,3,3,1)
3 3 3 2 0.000000	# ledq(3,3,3,2)
3 3 3 3 0.000000	# ledq(3,3,3,3)
Block WCQUQD1
1 1 1 1 0.000000	# quqd1(1,1,1,1)
1 1 1 2 0.000000	# quqd1(1,1,1,2)
1 1 1 3 0.000000	# quqd1(1,1,1,3)
1 1 2 1 0.000000	# quqd1(1,1,2,1)
1 1 2 2 0.000000	# quqd1(1,1,2,2)
1 1 2 3 0.000000	# quqd1(1,1,2,3)
1 1 3 1 0.000000	# quqd1(1,1,3,1)
1 1 3 2 0.000000	# quqd1(1,1,3,2)
1 1 3 3 0.000000	# quqd1(1,1,3,3)
1 2 1 1 0.000000	# quqd1(1,2,1,1)
1 2 1 2 0.000000	# quqd1(1,2,1,2)
1 2 1 3 0.000000	# quqd1(1,2,1,3)
1 2 2 1 0.000000	# quqd1(1,2,2,1)
1 2 2 2 0.000000	# quqd1(1,2,2,2)
1 2 2 3 0.000000	# quqd1(1,2,2,3)
1 2 3 1 0.000000	# quqd1(1,2,3,1)
1 2 3 2 0.000000	# quqd1(1,2,3,2)
1 2 3 3 0.000000	# quqd1(1,2,3,3)
1 3 1 1 0.000000	# quqd1(1,3,1,1)
1 3 1 2 0.000000	# quqd1(1,3,1,2)
1 3 1 3 0.000000	# quqd1(1,3,1,3)
1 3 2 1 0.000000	# quqd1(1,3,2,1)
1 3 2 2 0.000000	# quqd1(1,3,2,2)
1 3 2 3 0.000000	# quqd1(1,3,2,3)
1 3 3 1 0.000000	# quqd1(1,3,3,1)
1 3 3 2 0.000000	# quqd1(1,3,3,2)
1 3 3 3 0.000000	# quqd1(1,3,3,3)
2 1 1 1 0.000000	# quqd1(2,1,1,1)
2 1 1 2 0.000000	# quqd1(2,1,1,2)
2 1 1 3 0.000000	# quqd1(2,1,1,3)
2 1 2 1 0.000000	# quqd1(2,1,2,1)
2 1 2 2 0.000000	# quqd1(2,1,2,2)
2 1 2 3 0.000000	# quqd1(2,1,2,3)
2 1 3 1 0.000000	# quqd1(2,1,3,1)
2 1 3 2 0.000000	# quqd1(2,1,3,2)
2 1 3 3 0.000000	# quqd1(2,1,3,3)
2 2 1 1 0.000000	# quqd1(2,2,1,1)
2 2 1 2 0.000000	# quqd1(2,2,1,2)
2 2 1 3 0.000000	# quqd1(2,2,1,3)
2 2 2 1 0.000000	# quqd1(2,2,2,1)
2 2 2 2 0.000000	# quqd1(2,2,2,2)
2 2 2 3 0.000000	# quqd1(2,2,2,3)
2 2 3 1 0.000000	# quqd1(2,2,3,1)
2 2 3 2 0.000000	# quqd1(2,2,3,2)
2 2 3 3 0.000000	# quqd1(2,2,3,3)
2 3 1 1 0.000000	# quqd1(2,3,1,1)
2 3 1 2 0.000000	# quqd1(2,3,1,2)
2 3 1 3 0.000000	# quqd1(2,3,1,3)
2 3 2 1 0.000000	# quqd1(2,3,2,1)
2 3 2 2 0.000000	# quqd1(2,3,2,2)
2 3 2 3 0.000000	# quqd1(2,3,2,3)
2 3 3 1 0.000000	# quqd1(2,3,3,1)
2 3 3 2 0.000000	# quqd1(2,3,3,2)
2 3 3 3 0.000000	# quqd1(2,3,3,3)
3 1 1 1 0.000000	# quqd1(3,1,1,1)
3 1 1 2 0.000000	# quqd1(3,1,1,2)
3 1 1 3 0.000000	# quqd1(3,1,1,3)
3 1 2 1 0.000000	# quqd1(3,1,2,1)
3 1 2 2 0.000000	# quqd1(3,1,2,2)
3 1 2 3 0.000000	# quqd1(3,1,2,3)
3 1 3 1 0.000000	# quqd1(3,1,3,1)
3 1 3 2 0.000000	# quqd1(3,1,3,2)
3 1 3 3 0.000000	# quqd1(3,1,3,3)
3 2 1 1 0.000000	# quqd1(3,2,1,1)
3 2 1 2 0.000000	# quqd1(3,2,1,2)
3 2 1 3 0.000000	# quqd1(3,2,1,3)
3 2 2 1 0.000000	# quqd1(3,2,2,1)
3 2 2 2 0.000000	# quqd1(3,2,2,2)
3 2 2 3 0.000000	# quqd1(3,2,2,3)
3 2 3 1 0.000000	# quqd1(3,2,3,1)
3 2 3 2 0.000000	# quqd1(3,2,3,2)
3 2 3 3 0.000000	# quqd1(3,2,3,3)
3 3 1 1 0.000000	# quqd1(3,3,1,1)
3 3 1 2 0.000000	# quqd1(3,3,1,2)
3 3 1 3 0.000000	# quqd1(3,3,1,3)
3 3 2 1 0.000000	# quqd1(3,3,2,1)
3 3 2 2 0.000000	# quqd1(3,3,2,2)
3 3 2 3 0.000000	# quqd1(3,3,2,3)
3 3 3 1 0.000000	# quqd1(3,3,3,1)
3 3 3 2 0.000000	# quqd1(3,3,3,2)
3 3 3 3 0.000000	# quqd1(3,3,3,3)
Block IMWCQUQD1
1 1 1 1 0.000000	# quqd1(1,1,1,1)
1 1 1 2 0.000000	# quqd1(1,1,1,2)
1 1 1 3 0.000000	# quqd1(1,1,1,3)
1 1 2 1 0.000000	# quqd1(1,1,2,1)
1 1 2 2 0.000000	# quqd1(1,1,2,2)
1 1 2 3 0.000000	# quqd1(1,1,2,3)
1 1 3 1 0.000000	# quqd1(1,1,3,1)
1 1 3 2 0.000000	# quqd1(1,1,3,2)
1 1 3 3 0.000000	# quqd1(1,1,3,3)
1 2 1 1 0.000000	# quqd1(1,2,1,1)
1 2 1 2 0.000000	# quqd1(1,2,1,2)
1 2 1 3 0.000000	# quqd1(1,2,1,3)
1 2 2 1 0.000000	# quqd1(1,2,2,1)
1 2 2 2 0.000000	# quqd1(1,2,2,2)
1 2 2 3 0.000000	# quqd1(1,2,2,3)
1 2 3 1 0.000000	# quqd1(1,2,3,1)
1 2 3 2 0.000000	# quqd1(1,2,3,2)
1 2 3 3 0.000000	# quqd1(1,2,3,3)
1 3 1 1 0.000000	# quqd1(1,3,1,1)
1 3 1 2 0.000000	# quqd1(1,3,1,2)
1 3 1 3 0.000000	# quqd1(1,3,1,3)
1 3 2 1 0.000000	# quqd1(1,3,2,1)
1 3 2 2 0.000000	# quqd1(1,3,2,2)
1 3 2 3 0.000000	# quqd1(1,3,2,3)
1 3 3 1 0.000000	# quqd1(1,3,3,1)
1 3 3 2 0.000000	# quqd1(1,3,3,2)
1 3 3 3 0.000000	# quqd1(1,3,3,3)
2 1 1 1 0.000000	# quqd1(2,1,1,1)
2 1 1 2 0.000000	# quqd1(2,1,1,2)
2 1 1 3 0.000000	# quqd1(2,1,1,3)
2 1 2 1 0.000000	# quqd1(2,1,2,1)
2 1 2 2 0.000000	# quqd1(2,1,2,2)
2 1 2 3 0.000000	# quqd1(2,1,2,3)
2 1 3 1 0.000000	# quqd1(2,1,3,1)
2 1 3 2 0.000000	# quqd1(2,1,3,2)
2 1 3 3 0.000000	# quqd1(2,1,3,3)
2 2 1 1 0.000000	# quqd1(2,2,1,1)
2 2 1 2 0.000000	# quqd1(2,2,1,2)
2 2 1 3 0.000000	# quqd1(2,2,1,3)
2 2 2 1 0.000000	# quqd1(2,2,2,1)
2 2 2 2 0.000000	# quqd1(2,2,2,2)
2 2 2 3 0.000000	# quqd1(2,2,2,3)
2 2 3 1 0.000000	# quqd1(2,2,3,1)
2 2 3 2 0.000000	# quqd1(2,2,3,2)
2 2 3 3 0.000000	# quqd1(2,2,3,3)
2 3 1 1 0.000000	# quqd1(2,3,1,1)
2 3 1 2 0.000000	# quqd1(2,3,1,2)
2 3 1 3 0.000000	# quqd1(2,3,1,3)
2 3 2 1 0.000000	# quqd1(2,3,2,1)
2 3 2 2 0.000000	# quqd1(2,3,2,2)
2 3 2 3 0.000000	# quqd1(2,3,2,3)
2 3 3 1 0.000000	# quqd1(2,3,3,1)
2 3 3 2 0.000000	# quqd1(2,3,3,2)
2 3 3 3 0.000000	# quqd1(2,3,3,3)
3 1 1 1 0.000000	# quqd1(3,1,1,1)
3 1 1 2 0.000000	# quqd1(3,1,1,2)
3 1 1 3 0.000000	# quqd1(3,1,1,3)
3 1 2 1 0.000000	# quqd1(3,1,2,1)
3 1 2 2 0.000000	# quqd1(3,1,2,2)
3 1 2 3 0.000000	# quqd1(3,1,2,3)
3 1 3 1 0.000000	# quqd1(3,1,3,1)
3 1 3 2 0.000000	# quqd1(3,1,3,2)
3 1 3 3 0.000000	# quqd1(3,1,3,3)
3 2 1 1 0.000000	# quqd1(3,2,1,1)
3 2 1 2 0.000000	# quqd1(3,2,1,2)
3 2 1 3 0.000000	# quqd1(3,2,1,3)
3 2 2 1 0.000000	# quqd1(3,2,2,1)
3 2 2 2 0.000000	# quqd1(3,2,2,2)
3 2 2 3 0.000000	# quqd1(3,2,2,3)
3 2 3 1 0.000000	# quqd1(3,2,3,1)
3 2 3 2 0.000000	# quqd1(3,2,3,2)
3 2 3 3 0.000000	# quqd1(3,2,3,3)
3 3 1 1 0.000000	# quqd1(3,3,1,1)
3 3 1 2 0.000000	# quqd1(3,3,1,2)
3 3 1 3 0.000000	# quqd1(3,3,1,3)
3 3 2 1 0.000000	# quqd1(3,3,2,1)
3 3 2 2 0.000000	# quqd1(3,3,2,2)
3 3 2 3 0.000000	# quqd1(3,3,2,3)
3 3 3 1 0.000000	# quqd1(3,3,3,1)
3 3 3 2 0.000000	# quqd1(3,3,3,2)
3 3 3 3 0.000000	# quqd1(3,3,3,3)
Block WCQUQD8
1 1 1 1 0.000000	# quqd8(1,1,1,1)
1 1 1 2 0.000000	# quqd8(1,1,1,2)
1 1 1 3 0.000000	# quqd8(1,1,1,3)
1 1 2 1 0.000000	# quqd8(1,1,2,1)
1 1 2 2 0.000000	# quqd8(1,1,2,2)
1 1 2 3 0.000000	# quqd8(1,1,2,3)
1 1 3 1 0.000000	# quqd8(1,1,3,1)
1 1 3 2 0.000000	# quqd8(1,1,3,2)
1 1 3 3 0.000000	# quqd8(1,1,3,3)
1 2 1 1 0.000000	# quqd8(1,2,1,1)
1 2 1 2 0.000000	# quqd8(1,2,1,2)
1 2 1 3 0.000000	# quqd8(1,2,1,3)
1 2 2 1 0.000000	# quqd8(1,2,2,1)
1 2 2 2 0.000000	# quqd8(1,2,2,2)
1 2 2 3 0.000000	# quqd8(1,2,2,3)
1 2 3 1 0.000000	# quqd8(1,2,3,1)
1 2 3 2 0.000000	# quqd8(1,2,3,2)
1 2 3 3 0.000000	# quqd8(1,2,3,3)
1 3 1 1 0.000000	# quqd8(1,3,1,1)
1 3 1 2 0.000000	# quqd8(1,3,1,2)
1 3 1 3 0.000000	# quqd8(1,3,1,3)
1 3 2 1 0.000000	# quqd8(1,3,2,1)
1 3 2 2 0.000000	# quqd8(1,3,2,2)
1 3 2 3 0.000000	# quqd8(1,3,2,3)
1 3 3 1 0.000000	# quqd8(1,3,3,1)
1 3 3 2 0.000000	# quqd8(1,3,3,2)
1 3 3 3 0.000000	# quqd8(1,3,3,3)
2 1 1 1 0.000000	# quqd8(2,1,1,1)
2 1 1 2 0.000000	# quqd8(2,1,1,2)
2 1 1 3 0.000000	# quqd8(2,1,1,3)
2 1 2 1 0.000000	# quqd8(2,1,2,1)
2 1 2 2 0.000000	# quqd8(2,1,2,2)
2 1 2 3 0.000000	# quqd8(2,1,2,3)
2 1 3 1 0.000000	# quqd8(2,1,3,1)
2 1 3 2 0.000000	# quqd8(2,1,3,2)
2 1 3 3 0.000000	# quqd8(2,1,3,3)
2 2 1 1 0.000000	# quqd8(2,2,1,1)
2 2 1 2 0.000000	# quqd8(2,2,1,2)
2 2 1 3 0.000000	# quqd8(2,2,1,3)
2 2 2 1 0.000000	# quqd8(2,2,2,1)
2 2 2 2 0.000000	# quqd8(2,2,2,2)
2 2 2 3 0.000000	# quqd8(2,2,2,3)
2 2 3 1 0.000000	# quqd8(2,2,3,1)
2 2 3 2 0.000000	# quqd8(2,2,3,2)
2 2 3 3 0.000000	# quqd8(2,2,3,3)
2 3 1 1 0.000000	# quqd8(2,3,1,1)
2 3 1 2 0.000000	# quqd8(2,3,1,2)
2 3 1 3 0.000000	# quqd8(2,3,1,3)
2 3 2 1 0.000000	# quqd8(2,3,2,1)
2 3 2 2 0.000000	# quqd8(2,3,2,2)
2 3 2 3 0.000000	# quqd8(2,3,2,3)
2 3 3 1 0.000000	# quqd8(2,3,3,1)
2 3 3 2 0.000000	# quqd8(2,3,3,2)
2 3 3 3 0.000000	# quqd8(2,3,3,3)
3 1 1 1 0.000000	# quqd8(3,1,1,1)
3 1 1 2 0.000000	# quqd8(3,1,1,2)
3 1 1 3 0.000000	# quqd8(3,1,1,3)
3 1 2 1 0.000000	# quqd8(3,1,2,1)
3 1 2 2 0.000000	# quqd8(3,1,2,2)
3 1 2 3 0.000000	# quqd8(3,1,2,3)
3 1 3 1 0.000000	# quqd8(3,1,3,1)
3 1 3 2 0.000000	# quqd8(3,1,3,2)
3 1 3 3 0.000000	# quqd8(3,1,3,3)
3 2 1 1 0.000000	# quqd8(3,2,1,1)
3 2 1 2 0.000000	# quqd8(3,2,1,2)
3 2 1 3 0.000000	# quqd8(3,2,1,3)
3 2 2 1 0.000000	# quqd8(3,2,2,1)
3 2 2 2 0.000000	# quqd8(3,2,2,2)
3 2 2 3 0.000000	# quqd8(3,2,2,3)
3 2 3 1 0.000000	# quqd8(3,2,3,1)
3 2 3 2 0.000000	# quqd8(3,2,3,2)
